Post_ID,Type,Category,Slide_1_Title,Highlight_Word,Slide_2_Question_or_Title,Option_A,Option_B,Option_C,Option_D,Slide_3_Question,Slide_4_Question,Slide_5_Question,Slide_6_Question,Status
Post_1,Question,Couples,5 uncomfortable questions every couple should answer,uncomfortable,When was a time you felt misunderstood by me?,,,,,Do you feel safe expressing your anger around me?,What's a habit of mine you're quietly tolerating?,Are we growing together or just comfortable?,Do you ever worry about our future together?,
Post_2,Question,Couples,5 questions that reveal how safe you really feel with me,safe,What's something you'd only tell me and no one else?,,,,,Is there a version of you I haven't met yet?,When do you feel most yourself around me?,What makes you hesitate before being honest with me?,Do you feel like you can fall apart in front of me?,
Post_3,Question,Couples,5 questions to ask before you say 'I love you' again,again,"What does love feel like to you right now, today?",,,,,Has the way you love me changed since we started?,What's something I do that reminds you why you chose me?,Do you still feel chosen by me?,What would you want me to never stop doing?,Done
Post_4,Question,Couples,5 vulnerable questions couples avoid asking,avoid,What's a fear about us you've never said out loud?,,,,,Is there something you wish I understood without explaining?,What's the loneliest you've felt while we were together?,Do you ever feel like you're carrying more than me?,What would you want to fix about us before it's too late?,Done
Post_5,Question,Couples,5 questions about trust every couple should sit with,trust,What's one thing that would break your trust in me instantly?,,,,,"Do you trust me with your worst days, not just your best?",Have I ever made you doubt yourself?,What rebuilds your trust after it's shaken?,Is there something I've never asked but you wish I would?,Done
Post_6,Question,Couples,5 deep questions about who we're becoming,becoming,Who are you becoming that I haven't fully met yet?,,,,,What part of yourself have you changed for me?,"Do you think we push each other to grow, or to settle?",What's a version of us five years from now that excites you?,What do you hope I never stop believing about you?,Done
Post_7,Question,Couples,5 questions about fear you've never asked each other,fear,What's your biggest fear about losing me?,,,,,Is there something about the future that quietly scares you?,Do you fear becoming like anyone in your family?,What's a fear about yourself you've never told me?,"What would help you feel less afraid, right now?",Done
Post_8,Question,Couples,5 questions about the version of you before us,before,"Who were you before we met, and do you miss them?",,,,,What's something from your past relationships you carried into ours?,Was there a moment you almost gave up on love before me?,What did younger you need to hear about love?,What do you think younger you would say about us?,Done
Post_9,Question,Couples,5 questions to ask when things feel distant,distant,When did you last feel truly close to me?,,,,,What's pulling your attention away from us lately?,Do you feel like I've been present with you this month?,What would closeness look like to you right now?,Is there something unsaid sitting between us?,Done
Post_10,Question,Couples,5 questions about the fights that shaped us,fights,What's a fight we had that actually taught you something?,,,,,Do you think we fight fair?,What do you need from me right after we argue?,Is there an old fight you still think about?,What's something I do during conflict that you wish I wouldn't?,Done
Post_11,Question,Couples,5 questions about being truly known,known,"Do you feel like I really know you, or just parts of you?",,,,,What's something about you that's easy to misunderstand?,What do you wish people saw about you that I already do?,Is there a side of you I've never seen?,What would it mean to you to feel fully known?,Done
Post_12,Question,Couples,5 questions to ask about your love language,language,"What makes you feel most loved, even on an ordinary day?",,,,,Is there something I do that you don't realize means so much?,What's a small gesture that would mean everything right now?,"Do I show love the way you need it, or the way I understand it?",What's something you wish I asked for more often?,Done
Post_13,Question,Couples,5 questions about the future you're both scared to say out loud,scared,What's a future you want that you haven't told me yet?,,,,,Is there a version of our future that worries you?,What does 'forever' actually mean to you?,What's one thing you need to feel secure about our future?,Do you picture yourself old with me?,Done
