Video_ID,Title,Question_1,Question_2,Question_3,Status
Video_1,3 questions to ask before sleeping,What made you smile today?,When did you feel closest to me?,Is there something on your mind?,Done
Video_2,3 questions for a cozy date night,What is your favorite memory of us?,When did you first realize you loved me?,What is one dream you want us to share?,Done
Video_3,3 questions to deepen your bond,What is something I do that makes you feel safe?,How can I support you better this week?,What is a small detail about me you love?,Done
Video_4,3 questions to ask when you miss each other,What part of your day do you wish I was there for?,What is your favorite way I hug you?,What is the first thing we should do when we meet?,Done
Video_5,3 questions about your future together,Where do you picture us in 5 years?,What is one tradition you want us to start?,What scares you most about growing old?,Done
Video_6,3 questions during a quiet drive,What song always reminds you of us?,When were you most proud of me?,What is a secret dream you haven't shared yet?,Pending
Video_7,3 questions about emotional safety,Do you feel like you can cry in front of me?,What is something you hesitate to tell me?,When do you feel most understood by me?,Pending
Video_8,3 questions for Sunday morning coffee,What is your ideal lazy day with me?,What made you fall in love with my mind?,What is your favorite habit of ours?,Pending
Video_9,3 questions to ask after a hard day,"Do you need advice, a hug, or space?",How can I make your evening peaceful?,What was the heaviest part of your day?,Pending
Video_10,3 questions about romantic gestures,What is a tiny thing I do that melts your heart?,When did you last feel deeply loved by me?,What love language do you need more of right now?,Pending
Video_11,3 questions about trust and honesty,What makes you feel unshakeable with me?,Is there an old fight you still think about?,What is a promise you take most seriously?,Pending
Video_12,3 questions to ask on your anniversary,What was your first impression of me?,How have we grown most since day one?,Why do you choose me again today?,Pending
Video_13,3 questions about your love story,"If our relationship was a book, what is this chapter called?",What was our most magical date?,When did you know I was your person?,Pending
Video_14,3 questions to ask when you feel distant,When did you last feel truly connected to me?,Is there something unsaid sitting between us?,How can we feel like a team again?,Pending
Video_15,3 questions about laughter and joy,What is our funniest memory together?,What silly habit of mine do you secretly love?,When do we laugh the hardest?,Pending
Video_16,3 questions for a rainy afternoon,What is your ultimate comfort food with me?,"If we could travel anywhere tomorrow, where to?",What is your favorite spot to snuggle at home?,Pending
Video_17,3 questions about growth and change,How have I changed you for the better?,What part of yourself did you drop for us?,What are we building together that excites you?,Pending
Video_18,3 questions about vulnerability,What is an insecurity you carry quietly?,When did I make you feel most vulnerable?,What would help you drop your guard completely?,Pending
Video_19,3 questions about handling stress,Do I calm your anxiety or add to it?,What is the best thing I do when you're overwhelmed?,How do you prefer to decompress together?,Pending
Video_20,3 questions about friendship in love,Do you consider me your best friend?,What is the most 'us' thing about our daily life?,Why do you prefer my company over anyone else's?,Pending
Video_21,3 questions about gratitude,What is something I did recently you never thanked me for?,What about our life together do you never take for granted?,What quality of mine do you admire most?,Pending
Video_22,3 questions for a late night talk,What is a fear about us you rarely voice?,What did younger you need to hear about love?,Do you believe we were meant to meet?,Pending
Video_23,3 questions about physical touch,What non-physical gesture makes you feel desired?,What is your favorite kind of affection from me?,When do you crave my closeness most?,Pending
Video_24,3 questions about communication,Do you feel like I really listen to you?,What is a topic you hesitate to bring up?,How do you prefer I reassure you when anxious?,Pending
Video_25,3 questions about home and peace,What makes our space feel like home to you?,When do you feel most at peace in my arms?,What daily routine would you hate to lose?,Pending
Video_26,3 questions about forgiveness,How do you know when an apology from me is real?,What helps you forgive and move past conflict?,Is there something you need me to forgive you for?,Pending
Video_27,3 questions about simple dates,What is your dream low-key date night?,"If we had 24 hours with no phones, what would we do?",What simple moment with me warmed your heart?,Pending
Video_28,3 questions about chosen love,What made you choose me on a hard day?,Do you still feel butterflies when I look at you?,What reminds you why we're worth fighting for?,Pending
Video_29,3 questions about teamwork,When do we work best as a team?,What hard season did we survive that made us stronger?,What big decision are you glad we made together?,Pending
Video_30,3 questions for forever love,What is the strongest pillar of our relationship?,What legacy do you hope we build together?,Are you ready for everything our future holds?,Pending
