Video_ID,Title,Item_1,Item_2,Item_3,Item_4,Status
Video_1,4 signs you found your person,Silence with them is comfortable,You don't hide your weird side,Their happiness feels like yours,You want to share small news first,Done
Video_2,4 subtle signs of healthy love,Arguments turn into conversations,You feel emotionally safe always,You celebrate each other's wins,Space apart doesn't cause panic,Pending
Video_3,4 signs of a soulmate relationship,You feel completely understood,Your intuition feels at total peace,You push each other to grow,Laughter comes naturally every day,Pending
Video_4,4 small things that build deep trust,Keeping small promises daily,Listening without interrupting,Admitting mistakes without pride,Consistent warm check-in texts,Pending
Video_5,4 signs of a forever bond,You talk about the future easily,Their family feels like yours,You handle hard seasons as a team,You choose each other on hard days,Pending
Video_6,4 green flags in a partner,They respect your boundaries,They remember small details you say,They comfort you when anxious,They apologize sincerely when wrong,Pending
Video_7,4 things that keep the spark alive,Spontaneous date night ideas,Random compliments during the day,Holding hands while walking,Unplugged phone-free evenings,Pending
Video_8,4 signs you feel emotionally safe,You can cry without feeling shame,You share secrets you never told,You express anger constructively,You don't doubt where you stand,Pending
Video_9,4 habits of happy couples,Kissing goodbye every morning,Saying I love you before sleep,Laughing off small daily mistakes,Expressing daily gratitude,Pending
Video_10,4 signs they are proud of you,They brag about your achievements,They support your wild dreams,Their eyes light up when you enter,They cheer loudest in your corner,Pending
Video_11,4 signs of true comfort,You wear messy lounge clothes around,You can sit in quiet for hours,No need to pretend or mask up,Snuggling fixes a bad day,Pending
Video_12,4 ways to show love without words,Making their morning coffee,Bringing a warm blanket over,Holding their hand during drives,Handling a chore they hate,Pending
Video_13,4 signs your bond is unshakeable,Outside stress brings you closer,You protect each other in public,You resolve conflict gently,Mutual respect never fades,Pending
Video_14,4 signs of emotional maturity,Giving space when needed,Not holding grudges after fights,Active listening during rants,Validating feelings always,Pending
Video_15,4 signs you're each other's safe space,Their hug resets your stress,You vent without fear of judgment,You can fall apart in their arms,Silence speaks volumes of peace,Pending
Video_16,4 signs you're falling deeper,You catch yourself smiling at them,Their voice calms your mind,You plan weekend trips together,Every love song reminds you of them,Pending
Video_17,4 pillars of a long lasting relationship,Unconditional mutual trust,Open honest communication,Shared values and future goals,Deep underlying friendship,Pending
Video_18,4 signs they love your authentic self,They adore your silly quirks,They love you makeup free,They encourage your passions,They accept your messy days,Pending
Video_19,4 things that strengthen intimacy,Deep late night conversations,Eye contact during hugs,Sharing secret childhood fears,Expressing vulnerability,Pending
Video_20,4 signs you handle conflict like a team,It's us vs the problem,No yelling or name calling,Reconnecting right after,Learning from every mistake,Pending
Video_21,4 signs of a healthy romantic dynamic,Equal effort from both sides,No scorekeeping past mistakes,Feeling valued and priority,Joy in ordinary routines,Pending
Video_22,4 small romantic gestures that matter,Forehead kisses in the morning,Leaving sweet handwritten notes,Bringing their favorite treat,Squeezing their hand tightly,Pending
Video_23,4 signs you found your best friend,Inside jokes nobody else gets,Teasing each other playfully,Bingeing comfort shows together,Endless chatter about nothing,Pending
Video_24,4 signs they make your life better,You feel more confident,Stress feels lighter to carry,You laugh much more often,Your mind feels truly calm,Pending
Video_25,4 green flags during hard times,They stay present and grounded,They ask how they can help,They don't abandon the talk,They offer silent physical support,Pending
Video_26,4 signs your love is evolving gracefully,"Less insecurity, more peace",Deeper quiet understanding,Patience replacing impatience,Shared dreams growing bigger,Pending
Video_27,4 ways to nurture emotional closeness,Asking about their inner world,Validating bad mood days,Uninterrupted 15 min check-ins,Surprising them with care,Pending
Video_28,4 signs you are deeply compatible,Your humor matches effortlessly,Similar lifestyle expectations,Matching definition of home,Shared financial vision,Pending
Video_29,4 signs they are your answered prayer,They bring order to your chaos,They love you at your worst,They show up when promised,You feel blessed every single day,Pending
Video_30,4 signs you're ready for the long haul,You can't picture life without them,Hard choices are made together,Their growth brings you joy,Choosing them is effortless,Pending
