Video_ID,Phrase,Status
Video_1,POV: You found the person who makes the loudest room feel quiet and the worst day feel safe.,Done
Video_2,POV: You realized you don't miss your past because your present is standing right next to you.,Done
Video_3,POV: Loving them feels like coming home after a long journey you didn't know you were taking.,Done
Video_4,POV: You look at them across a crowded room and realize you'd choose them in every lifetime.,Done
Video_5,"POV: Their laugh became your favorite sound, and their peace became your favorite place.",Done
Video_6,POV: You found someone who loves the parts of you you used to hide from the world.,Pending
Video_7,POV: Ordinary Sundays became extraordinary simply because they were spent holding their hand.,Pending
Video_8,"POV: You realized love isn't a grand movie scene, it's choosing each other in the quiet daily moments.",Pending
Video_9,POV: Their hug calms your anxiety faster than anything else ever could.,Pending
Video_10,POV: You found your best friend and the love of your life wrapped into one human being.,Pending
Video_11,POV: You look at them sleeping and realize your heart only ever knows their name.,Pending
Video_12,POV: Being loved by them made you realize you were never too much for the right person.,Pending
Video_13,POV: You stop overthinking the future because you know they'll be standing right beside you.,Pending
Video_14,POV: Their voice is the only constant comfort you need when the world gets too heavy.,Pending
Video_15,"POV: You realized home isn't a physical place anymore, it's wherever they are.",Pending
Video_16,POV: You catch yourself smiling at your phone because they sent a random sweet check-in text.,Pending
Video_17,"POV: Loving them is the easiest, most natural thing you have ever done in your life.",Pending
Video_18,POV: You found someone who makes you feel safe enough to drop your guard completely.,Pending
Video_19,POV: You look at old photos of you two and realize how much warmer life has been ever since.,Pending
Video_20,POV: Their forehead kisses heal parts of your soul you didn't know were hurting.,Pending
Video_21,POV: You realized that true love is when their happiness genuinely feels like your own.,Pending
Video_22,POV: You finally understand every love song because every lyric now points directly to them.,Pending
Video_23,POV: You found a love that doesn't make you fight for attention or guess where you stand.,Pending
Video_24,POV: Holding their hand in the car on a long drive feels like pure magic.,Pending
Video_25,"POV: You realize that even on your hardest days, having them by your side makes everything okay.",Pending
Video_26,POV: You catch them staring at you lovingly when they thought you weren't looking.,Pending
Video_27,POV: You found someone who listens to your quiet thoughts without judging a single word.,Pending
Video_28,POV: Growing old doesn't sound scary anymore because you get to do it with them.,Pending
Video_29,"POV: You found the person who made you believe in beautiful, gentle things again.",Pending
Video_30,"POV: You look at them and know, without a single doubt, that you are right where you belong.",Pending
