Video_ID,Phrase,Status
Video_1,I love you,Done
Video_2,I love everything you do,Done
Video_3,You are my favourite place to be,Done
Video_4,"In a room full of people, I'd still choose you",Done
Video_5,You make my soul feel at home,Done
Video_6,I fall for you every single day,Done
Video_7,You are my calm in every storm,Done
Video_8,Loving you is the easiest thing I've ever done,Done
Video_9,You are my favourite kind of forever,Done
Video_10,"With you, every moment feels like magic",Done
Video_11,I choose you. Today and always,Done
Video_12,You had me from the very first smile,Pending
Video_13,My heart only knows your name,Pending
Video_14,You are the reason I believe in love,Pending
Video_15,Wherever you are is where I want to be,Pending
Video_16,You are everything I never knew I needed,Pending
Video_17,I would fall in love with you a million times,Pending
Video_18,You are my sunshine on the darkest days,Pending
Video_19,Loving you feels like coming home,Pending
Video_20,You are the best thing that's ever been mine,Pending
Video_21,I see forever when I look into your eyes,Pending
Video_22,You are my today and all of my tomorrows,Pending
Video_23,My favourite feeling is being loved by you,Pending
Video_24,You are my heart outside my chest,Pending
Video_25,Being yours is my greatest adventure,Pending
Video_26,I love the way you love me,Pending
Video_27,You are the poem I never knew how to write,Pending
Video_28,I would choose you in a thousand lifetimes,Pending
Video_29,You complete me in ways I didn't know I was missing,Pending
Video_30,Every love song makes sense because of you,Pending
Video_31,"You are my person, always",Pending
Video_32,I love you more than words can ever say,Pending
Video_33,You are the reason my heart smiles,Pending
Video_34,Being next to you is my favourite place on earth,Pending
Video_35,I love you a little more every day,Pending
Video_36,You are my answered prayer,Pending
Video_37,I am so grateful the universe chose you for me,Pending
Video_38,You are my safe place,Pending
Video_39,I love the life we're building together,Pending
Video_40,You make ordinary moments extraordinary,Pending
Video_41,I never want to stop falling for you,Pending
Video_42,You are the love I've always wanted,Pending
Video_43,I love you not just for who you are but for who I am when I'm with you,Pending
Video_44,You are my miracle,Pending
Video_45,Every day with you is a gift,Pending
Video_46,I love you more than yesterday but less than tomorrow,Pending
Video_47,You are the missing piece I never knew I needed,Pending
Video_48,Being loved by you is pure magic,Pending
Video_49,I love you endlessly,Pending
Video_50,You are my favourite daydream,Pending
Video_51,I never want to know what life feels like without you,Pending
Video_52,You are proof that true love exists,Pending
Video_53,I love you with everything I have,Pending
Video_54,You are the melody I hear in everything,Pending
Video_55,I fall in love with you all over again every morning,Pending
Video_56,You are my greatest blessing,Pending
Video_57,I want to hold your hand forever,Pending
Video_58,You are the reason I wake up smiling,Pending
Video_59,I love you in every language,Pending
Video_60,You are my favourite chapter in this story called life,Pending
Video_61,You make me want to be a better person,Pending
Video_62,I love how safe it feels to be yours,Pending
Video_63,You are the dream I never want to wake up from,Pending
Video_64,I love every version of you,Pending
Video_65,You are the best thing about my day,Pending
Video_66,I never knew what home felt like until I found you,Pending
Video_67,You are the love that changed everything,Pending
Video_68,I would go anywhere in the world just to be with you,Pending
Video_69,You are my sunrise and my sunset,Pending
Video_70,I love you on your best days and even more on your worst,Pending
Video_71,You are the one I was waiting for without knowing it,Pending
Video_72,I love you beyond what words can hold,Pending
Video_73,You are the warmth in every cold moment,Pending
Video_74,I love loving you,Pending
Video_75,You are my heart's truest home,Pending
Video_76,I would pick you again and again and again,Pending
Video_77,You are the love I write about in my soul,Pending
Video_78,"I love your laugh, your voice, your everything",Pending
Video_79,You are the light that guides me back,Pending
Video_80,I am completely and utterly yours,Pending
Video_81,You are the greatest adventure I have ever taken,Pending
Video_82,I love you even when it's hard,Pending
Video_83,You are the story I want to keep telling,Pending
Video_84,I fall for your smile every single time,Pending
Video_85,You are the one who makes everything worthwhile,Pending
Video_86,I love how you make me feel understood,Pending
Video_87,You are my forever favourite person,Pending
Video_88,I love the way you see the world,Pending
Video_89,You are the reason I believe in beautiful things,Pending
Video_90,"I love you simply, without problems or pride",Pending
Video_91,You are the song my heart keeps repeating,Pending
Video_92,I love us and everything we are,Pending
Video_93,You are rare and I am lucky,Pending
Video_94,I love you right now in this moment,Pending
Video_95,You are the most beautiful part of my story,Pending
Video_96,I would cross every ocean just to reach you,Pending
Video_97,You are my favourite kind of love,Pending
Video_98,I love who I am when I am with you,Pending
Video_99,You are the reason I smile for no reason,Pending
Video_100,"I love you yesterday, today, and for all our tomorrows",Pending
